"Helsinki","2008-08-09","2","Helsingin Kesänäyttely 2008","http://www.showlink.fi/hkikesanayttely08/"
"Kouvola","2008-08-16","1","Kouvolan kansallinen koiranäyttely","http://personal.inet.fi/yritys/tmi.bebops/kouvola/"
"Heinola","2008-08-17","1","Heinolan kansallinen koiranäyttely","http://personal.inet.fi/yritys/tmi.bebops/heinola/"
"Hämeenlinna","2008-08-23","2","Hämeenlinnan KV","http://www.flatpower.fi/hameenlinnakv08/"
"Helsinki","2008-08-30","1","STJ:n Päänäyttely","http://www.terrierijarjesto.fi/"
"Helsinki","2008-09-06","2","Mastery Syysnäyttely 2008","http://www.showlink.fi/mastery08/"
"Porvoo","2008-09-13","2","Porvoon kansallinen koiranäyttely","http://www.porvoonkoiranayttely.com/"
"Hyvinkää","2008-09-20","1","Hyvinkään ryhmät 1,4-8","http://www.pon.fi/hyvinkaa/index.htm"
"Salo","2008-09-28","1","Salon ryhmät 1, 5","http://tassut.net/ryhmanly.htm"
"Hämeenlinna","2008-10-18","2","Hämeenlinnan ryhmät 1-3,9","http://www.elisanet.fi/~y639322/Nayttelyt/Hameenlinna/"
"Helsinki","2008-11-16","1","Helsingin pentunäyttely","http://www.showringnews.com/umtpentunayttely08.html"
"Jyväskylä","2008-11-22","2","Jyväskylän KV","http://www.jkldogshow.com/"
"Helsinki","2008-12-07","1","Helsingin pentunäyttely","http://www.saunalahti.fi/cockerit/pentunayttely/etusivu.htm"
"Helsinki","2008-12-13","2","Voittaja 2008","http://voittaja.kennelliitto.fi/FI/voittaja2008/etusivu.htm"
"Lahti","2008-10-26","1","Lahden pentunäyttely","http://www.lahdenkayttokoira.fi/"
"Helsinki","2008-11-30","1","Helsingin pentunäyttely","http://www.kiinanharjakoirat.fi/pentunayttely/"
"Turku","2009-01-24","2","Top Dog Show 2009 ","http://www.saunalahti.fi/~lskp/tds/index.html"
"Tampere","2009-03-14","2","Tampereen KV","http://www.tamperekv.fi/main_fin.html"
"Lappeenranta","2009-04-11","3","Lappeenrannan KV","http://www.pasada.fi/lappeenranta2009/index.htm"
"Tampere","2009-02-15","1","Tampereen ryhmä 2","http://www.showlink.fi/umt_tampere09/"
"Helsinki","2009-02-07","2","Kaapelitehtaan Pentunäyttely","http://kotisivuni.org/sites/pentu/index.php?pid=1"
"Lahti","2009-04-25","2","Lahti KV","http://www.saunalahti.fi/sskpiiri/kv2009/lahtigroups.htm"
"Helsinki","2009-05-23","2","Aptus Show","http://www.showlink.fi/aptus09/index.html"
"Salo","2009-06-06","2","Salon koiranäyttely","http://www.showlink.fi/salo09/"
"Kotka","2009-06-13","2","Kotkan Ruusu","http://www.showlink.fi/kotka09/"
"Hämeenlinna","2009-06-27","2","Hämeenlinnan kansallinen koiranäyttely","http://www.elisanet.fi/~y639322/Nayttelyt/Hameenlinna/"
"Somero","2009-05-02","1","Somero Eukanuba Show","http://www.pomppu.com/2009/"
"Salo","2009-05-17","1","Salon ryhmät 1, 3","http://www.tassut.net/ryhmanly.htm"
"Helsinki","2009-05-31","1","Helsingin pentunäyttely","http://kotisivuni.org/sites/pennut/index.php?pid=1"
"Helsinki","2009-04-04","2","Petexpo 2009","http://www.finnexpo.fi/petexpo/"
"Tuusula","2009-07-04","1","Tuusula Summer Show","http://personal.inet.fi/yritys/tmi.bebops/tuusula/index.html"
"Hyvinkää","2009-07-05","1","Hyvinkään kansallinen koiranäyttely","http://www.showlink.fi/hyvinkaa09/"
"Karjaa","2009-07-12","1","Karjaan kansallinen koiranäyttely","http://www.showlink.fi/karjaa09/"
"Mikkeli","2009-07-25","2","Mikkeli KV","http://www.showlink.fi/mikkeli09/index.html"
"Pori","2009-08-01","2","Pori KV","http://www.satsky.fi/porikv2009.htm"
"Tervakoski","2009-08-29","2","Tervakoski KV","http://www.elisanet.fi/ke/Nayttelyt/Turenki_r/"
"Oulu","2009-07-18","2","Oulu KV","http://www.showlink.fi/oulu09/"
"Heinola","2009-08-23","1","Heinolan koiranäyttely","http://personal.inet.fi/yritys/tmi.bebops/heinola/"
"Kouvola","2009-08-22","1","Kouvolan koiranäyttely","http://personal.inet.fi/yritys/tmi.bebops/kouvola09/"
"Vantaa","2009-09-05","2","Let's Go -näyttely","http://www.bob-brand.fi/letsgo2009/index.htm"
"Porvoo","2009-09-12","2","Porvoon koiranäyttely","http://www.porvoonkoiranayttely.com/"
"Helsinki","2009-08-29","1","STJ:n erikoisnäyttely"
"Karkkila","2009-09-27","1","Karkkila ryhmät 1 ja 6","http://www.pon.fi/karkkila/index.htm"
"Porvoo","2009-08-16","1","Porvoo ryhmät 1 & 3","http://porsk.com/kuvat/Näyttely09_pm.jpg"
"Helsinki","2009-08-08","1","SBPKY:n erikoisnäyttely","http://www.finbelge.fi/erkkari/2009/"
"Helsinki","2009-08-09","1","Helsingin ryhmät 1 & 2","http://www.showlink.fi/helsinki_ryhmis09/"
"Helsinki","2009-08-09","1","Helsingin pentunäyttely","http://www.showlink.fi/helsinki_pentu_09/"
"Jyväskylä","2009-11-21","2","Jyväskylä KV","http://www.jkldogshow.com/"
"Turku","2009-11-28","2","November Show Turku","http://www.saunalahti.fi/~lskp/turku09/index.html"
"Helsinki","2009-12-12","1","Voittaja 2009","http://voittaja.kennelliitto.fi/FI/voittaja2009/etusivu.htm"
"Helsinki","2009-12-13","1","Pohjoismaiden Voittaja 2009","http://voittaja.kennelliitto.fi/FI/pmvoittaja2009/etusivu.htm"
"Parainen","2009-09-20","1","Parainen ryhmät 3 ja 9","http://www.showlink.fi/parainen09/"
"Helsinki","2009-11-15","1","Helsingin pentunäyttely","http://www.showlink.fi/pentunayttely09/"
"Helsinki","2009-12-05","1","Helsingin pentunäyttely","http://personal.inet.fi/yritys/tmi.bebops/helpuppy09/"
"Hämeenlinna","2009-10-24","2","Hämeenlinna ryhmänäyttely","http://www.elisanet.fi/ke/Nayttelyt/tuulos/"
"Turku","2009-11-08","1","Turun pentunäyttely","http://www.kaappanat.com/"
"Kotka","2009-10-04","1","Kotkan pentunäyttely","http://www.showlink.fi/kotka_pentu09/"
"Turku","2010-01-23","2","Winter Dog Show 2010","http://www.showlink.fi/winterdogshow10/index.html"
"Tampere","2010-03-20","2","Tampere KV","http://www.tamperekv.fi/tampere10/main_fin.html"
"Lappeenranta","2010-04-04","2","Lappeenrannan kansallinen koiranäyttely","http://www.pasada.fi/lappeenranta2010/index.htm"
"Lahti","2010-04-24","2","Lahti KV","http://www.saunalahti.fi/sskpiiri/kv2010/lahti2010.htm"
"Helsinki","2010-03-27","1","Villakoirien erikoisnäyttely","http://villakoirakerho.com/nayttelyt/erikois_nayttelyt/erikois10/erkkari10paa.html"
"Helsinki","2010-03-28","1","Helsingin pentunäyttely","http://personal.inet.fi/yritys/tmi.bebops/helpuppy10/"
"Tampere","2010-02-14","1","Tampere Ryhmä 1","http://www.showlink.fi/umt10/"
"Salo","2010-05-09","1","Salon ryhmät 1, 5","http://www.tassut.net/ryhmanly.htm"
"Helsinki","2010-05-22","2","Aptus Show","http://www.showlink.fi/aptus2010/"
"Kangasniemi","2010-05-13","1","Kangasniemen koiranäyttely","http://www.showlink.fi/kangasniemi10/index.html"
"Helsinki","2010-05-15","1","HVK:n Pentunäyttely","http://hvkpentu.nettisivu.org/ilmoittautumiset/"
"Riihimäki","2010-05-16","1","Riihimäki pentunäyttely","http://www.khn.fi/kuvat/khnpentunayttely160510.pdf"
"Järvenpää","2010-05-30","1","Järvenpään koiranäyttely","http://www.showlink.fi/jarvenpaa2010/"
"Lohja","2010-06-06","1","Lohja ryhmät 1, 4, 6","http://dl.dropbox.com/u/3936977/060610-aikataulu.pdf"
"Turku","2011-01-22","2","Top Dog Show 2011","http://www.showlink.fi/tds2011/"
"Helsinki","2010-06-20","1","Helsingin pentunäyttely","http://beauceronpentu1.nettisivu.org/"
"Pori","2010-07-03","2","Pori KV","http://www.showlink.fi/poriKV10/"
"Kouvola","2010-08-21","1","Kouvolan koiranäyttely","http://personal.inet.fi/yritys/tmi.bebops/kouvola/index.htm"
"Karjaa","2010-07-11","1","Karjaan koiranäyttely","http://www.showlink.fi/karjaa10/"
"Mäntsälä","2010-07-17","2","Master Dog 2010","http://personal.inet.fi/yritys/tmi.bebops/mantsala/"
"Helsinki","2010-07-24","2","Helsingin kesänäyttely 2010","http://www.showlink.fi/hkikesanayttely2010/index.html"
"Kuopio","2010-08-06","3","Sawo Show 2010","http://www.sawoshow.fi/"
"Raisio","2010-08-14","2","Turun Elonäyttely","http://www.showlink.fi/elonayttely10/"
"Heinola","2010-08-22","1","Heinolan koiranäyttely","http://personal.inet.fi/yritys/tmi.bebops/heinola/index.htm"
"Lohja","2011-01-15","1","Puppy Cup","http://www.showlink.fi/puppycup11/"
"Lohja","2011-04-02","2","Puppy Cup","http://www.showlink.fi/puppycup11/"
"Lohja","2011-02-13","1","Ulkomuototuomarikoulutuksen koulutusnäyttely ","http://www.showlink.fi/umt2011/index.html"
"Tuusniemi","2011-03-19","1","Tuusniemi FCI 2,4&6","http://www.showlink.fi/tuusniemi11/"
"Tuusniemi","2011-02-19","2","Koillis-Sawo Show","http://www.koillis-sawoshow.fi/index.html"
"Lahti","2010-10-30","2","Lahden Kv koiranäyttely","http://www.saunalahti.fi/sskpiiri/kv2010s/lahti2010s.htm"
"Jyväskylä","2010-11-13","2","Jyväskylän KV koiranäyttely","http://www.jkldogshow.com/"
"Helsinki","2010-12-11","1","Helsinki Winner 2010","http://voittaja.kennelliitto.fi/FI/helsinkiwinner2010/"
"Vantaa","2010-09-11","1","Ryhmänäyttely FCI 2&3","http://www.showlink.fi/helsinki_syys10/index.html"
"Helsinki","2010-12-12","1","Voittaja 2010","http://voittaja.kennelliitto.fi/FI/voittaja2010/"
"Helsinki","2010-09-04","2","Mastery syysnäyttely","http://www.showlink.fi/mastery2010/"
"Tervakoski","2010-08-28","1","Tervakosken KV näyttely","http://www.elisanet.fi/ke/Nayttelyt/Tervakoski/"
"Helsinki","2010-08-29","1","Terri-Eri 2010","http://www.terrierijarjesto.fi/terrieri_sivut_2010/index.html"
"Karkkila","2010-09-25","1","Ryhmänäyttely FCI 1&5","http://www.pon.fi/Karkkila2010/etusivu.html"
"Helsinki","2010-11-27","2","Best In - Puppy Show","http://www.showlink.fi/umt_pentu2010/index.html"
"Lahti","2011-04-22","2","Lahden KV koiranäyttely","http://personal.inet.fi/yritys/tmi.bebops/lahtikv/"
"Ristiina","2010-07-31","1","Ristiinan koirakerhon juhlanäyttely","http://personal.inet.fi/koti/ristiinankoirakerho/ristiina_nayttely_2010/index.htm"
"Helsinki","2011-03-12","2","Helsinki Horse Fair","http://web.finnexpo.fi/Sites1/GoExpo2011/HelsinkiHorseFair/Sivut/default.aspx"
"Helsinki","2011-04-16","2","Nutro Puppy Show","http://www.showlink.fi/nutropuppyshow2011/"
"Lahti","2010-10-24","1","Lahden pentunäyttely"
"Lohja","2010-11-07","1","Puppy Cup","http://www.showlink.fi/puppycup10/tulokset_loka.html"
"Lappeenranta","2011-04-23","3","Lappeenrannan KV koiranäyttely","http://www.lappeenrantadogshow.com/"
"Lohja","2011-04-03","1","Drive-In erikoisnäyttely","http://koti.mbnet.fi/parkkiin/nayttely/"
"Helsinki","2011-05-21","2","Aptus Show","http://www.showlink.fi/aptus2011/"
"Tampere","2011-05-07","2","Tampereen KV koiranäyttely 2011","http://www.tamperekv.fi/"
"Lohja","2011-05-01","1","Wappuhulinat","http://www.showlink.fi/showlink/wappuhulinat-showlink-areenalla-152011"
"Helsinki","2011-05-28","1","LKC FCI 3&9","http://personal.inet.fi/yritys/tmi.bebops/helsinki/index.htm"
"Virkkala","2011-06-05","1","Lohja FCI 1&2","http://dl.dropbox.com/u/3936977/Lohja%205.6.2011.pdf"
"Riihimäki","2011-06-18","2","Riihimäen koiranäyttely","http://riihimaenseudunkennelkerho.sporttisaitti.com/lajit/nayttely-2011/"
"Pieksämäki","2011-06-11","1","Pieksämäen koiranäyttely","http://www.showlink.fi/pieksamaki11/"
"Tuusula","2011-07-02","1","Tuusula Summer Sow","http://showlink.fi/tuusula2011/"
"Helsinki","2011-07-22","1","Eukanuba Open Show 2011","http://www.nnterrierit.fi/?id=1DE43090-38F0438B8FB6-33435733B443"
"Helsinki","2011-07-23","2","Eukanuba Summer Show 2011","http://www.showlink.fi/eukanuba11/index.html"
"Pori","2011-07-30","2","Pori KV 2011","http://www.satsky.fi/tapahtumat/porin-kv-koiranayttely/"
"Helsinki","2011-07-17","1","FCI 8 & 10","http://www.showlink.fi/helsinki_ryhmis11/"
"Helsinki","2011-07-16","1","Club Show 2011","http://sic.fi/?p=6394"
"Helsinki","2011-07-16","1","Sirl Erikoisnäyttely","http://www.irlanninsusikoirat.org/aineistoja/erkkari_2011_nettiin.pdf"
"Saarijärvi","2011-08-06","2","Saarijärven koiranäyttely","http://showlink.fi/saarijarvi11/index.html"
"Karjaa","2011-07-03","1","Karjaan koiranäyttely","http://www.showlink.fi/karjaa11/"
"Turku","2011-08-13","2","Turun Elonäyttely 2011","http://www.showlink.fi/elonayttely2011/"
"Kouvola","2011-08-20","1","Kouvolan koiranäyttely","http://personal.inet.fi/yritys/tmi.bebops/kouvola/"
"Heinola","2011-08-21","1","Heinolan koiranäyttely","http://personal.inet.fi/yritys/tmi.bebops/heinola/"
"Lohja","2011-08-27","1","Terri-Eri 2011","http://showlink.fi/terrieri11/"
"Vantaa","2011-09-03","2","LetÂ´s Go","http://www.showlink.fi/letsgo2011/"
"Helsinki","2011-09-10","1","FCI 2 &9","http://www.showlink.fi/helsinki_syys11/"
"Raisio","2011-09-11","1","FCI 2 & 9","http://www.showlink.fi/raisio11/"
"Hyvinkää","1970-01-01","1","FCI 1, 4/6, 5 & 7/8","http://www.kumk.fi/hyvinkaa2011.php"
"Lohja","2011-09-18","1","Puppy Cup","http://www.showlink.fi/puppycup12/index.html"
"Tampere","2011-09-25","1","Tampereen pentunäyttely","http://www.bob-brand.fi/tampereen_pentunayttely/"
"Hyvinkää","2011-09-17","1","FCI 1, 4/6, 5 & 7/8","http://www.kumk.fi/hyvinkaa2011.php"
"Lohja","2011-10-23","1","Puppy Cup","http://www.showlink.fi/puppycup12/index.html"
"Lohja","2011-10-22","1","Finnish Corgi Specialty 2011","http://www.corgiseura.net/helsinki/erkka2011_etusivu.html"
"Jyväskylä","2011-11-19","2","KV Jyväskylä/The Hound of Music","http://www.jkldogshow.com/"
"Helsinki","2011-11-12","2","Lemmikkimessut","http://www.best-inpuppyshow.fi/etusivu/"
"Helsinki","2011-11-26","2","Helsingin pentunäyttely","http://showlink.fi/beussipentu11/tuomarit.html"
"Lahti","2011-10-30","1","Lahden pentunäyttely","http://www.showlink.fi/showlink/lahtipentu11"
"Helsinki","2011-12-03","1","Helsinki Winner 2011","http://voittaja.kennelliitto.fi/FI/helsinkiwinner2011/"
"Helsinki","2011-12-04","1","Voittaja 2011","http://voittaja.kennelliitto.fi/FI/voittaja2011/voittaja2011.htm"
"Hyvinkää","2011-07-09","2","Hyvinkään koiranäyttely","http://www.showlink.fi/hyvinkaa11/"
"Tuusniemi","2012-02-25","2","Koillis-Sawo Show","http://www.koillis-sawoshow.fi/"
"Turku","2012-01-21","2","Winter Dog Show 2012","http://www.turkushows.fi/wds2012/"
"Lohja","2012-02-12","1","UMT koulutusnäyttely 7&8","http://www.showlink.fi/umt2012/"
"Lohja","2012-02-18","1","Winter Specialty 2012","http://www.bebops.fi/lohjasennen/"
"Helsinki","2012-03-03","2","Helsinki Horse Fair 2012","http://web.finnexpo.fi/Sites2/GoExpo2012/HelsinkiHorseFair/Sivut/default.aspx"
"Lappeenranta","2012-04-08","2","Lappeenrannan koiranäyttely","http://www.lappeenrantadogshow.com/index.htm"
"Helsinki","2012-06-16","2","Aptus Show","http://showlink.fi/aptus2012/"
"Lahti","2012-04-28","2","Lahden KV koiranäyttely","http://www.bebops.fi/lahtikv/"
"Tuusniemi","2012-03-25","1","Hirvenhaukut tukinäyttely FCI osa5,osa6&7/8","http://www.showlink.fi/showlink/tuusniemi2012"Virkkala","2012-06-03","1","FCI 1&2","http://dl.dropbox.com/u/3936977/Lohja20120603.pdf"
"Helsinki","2012-05-26","1","Helsingin ryhmänäyttely 1&3/10","http://www.showlink.fi/showlink/umt_helsinki12/"
"Polvijärvi","2012-03-31","2","Polvijärven koiranäyttely","http://www.telemail.fi/toimi.turunen/"
"Orimattila","2012-03-18","1","Tiibetinspanielit Erikoisnäyttely","http://www.tiibetinspanielit.fi/cms/"
"Forssa","2012-07-14","2","Forssan koiranäyttely","http://www.showlink.fi/forssa12/"
"Salo","2012-06-09","2","Salon koiranäyttely","http://show.tailorsnet.com/salo2012/index.html"
"Kouvola","2012-08-18","1","Kouvolan koiranäyttely","http://www.bebops.fi/kouvola2012/"
"Rovaniemi","2012-06-30","2","Rovaniemen KV koiranäyttely","http://www.juhannusnayttely.com/tuomarit.html"
